14:01:05 INFO  manager.ApplicationManager - Test start on Chrome
14:01:06 INFO  manager.MyListener - Start searching element by locator -->By.id: city
14:01:06 INFO  manager.MyListener - Element with locator -->By.id: cityis found
14:01:09 INFO  manager.MyListener - Start searching element by locator -->By.cssSelector: div.pac-item
14:01:09 INFO  manager.MyListener - Element with locator -->By.cssSelector: div.pac-itemis found
14:01:12 INFO  manager.MyListener - Start searching element by locator -->By.id: dates
14:01:12 INFO  manager.MyListener - Element with locator -->By.id: datesis found
14:01:12 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //div[.=' 15 ']
14:01:12 INFO  manager.MyListener - Element with locator -->By.xpath: //div[.=' 15 ']is found
14:01:12 INFO  manager.MyListener - Start searching element by locator -->By.cssSelector: button[aria-label='Next month']
14:01:12 INFO  manager.MyListener - Element with locator -->By.cssSelector: button[aria-label='Next month']is found
14:01:12 INFO  manager.MyListener - Start searching element by locator -->By.cssSelector: button[aria-label='Next month']
14:01:12 INFO  manager.MyListener - Element with locator -->By.cssSelector: button[aria-label='Next month']is found
14:01:12 INFO  manager.MyListener - Start searching element by locator -->By.cssSelector: button[aria-label='Next month']
14:01:12 INFO  manager.MyListener - Element with locator -->By.cssSelector: button[aria-label='Next month']is found
14:01:13 INFO  manager.MyListener - Start searching element by locator -->By.cssSelector: button[aria-label='Next month']
14:01:13 INFO  manager.MyListener - Element with locator -->By.cssSelector: button[aria-label='Next month']is found
14:01:13 INFO  manager.MyListener - Start searching element by locator -->By.cssSelector: button[aria-label='Next month']
14:01:13 INFO  manager.MyListener - Element with locator -->By.cssSelector: button[aria-label='Next month']is found
14:01:13 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //div[.=' 11 ']
14:01:13 INFO  manager.MyListener - Element with locator -->By.xpath: //div[.=' 11 ']is found
14:01:16 INFO  manager.MyListener - Start searching element by locator -->By.cssSelector: button[type='submit']
14:01:16 INFO  manager.MyListener - Element with locator -->By.cssSelector: button[type='submit']is found
