14:00:10 INFO  manager.ApplicationManager - Test start on Chrome
14:00:11 INFO  manager.MyListener - Start searching element by locator -->By.id: city
14:00:11 INFO  manager.MyListener - Element with locator -->By.id: cityis found
14:00:15 INFO  manager.MyListener - Start searching element by locator -->By.cssSelector: div.pac-item
14:00:15 INFO  manager.MyListener - Element with locator -->By.cssSelector: div.pac-itemis found
14:00:18 INFO  manager.MyListener - Start searching element by locator -->By.id: dates
14:00:18 INFO  manager.MyListener - Element with locator -->By.id: datesis found
14:00:18 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //div[.=' 15 ']
14:00:18 INFO  manager.MyListener - Element with locator -->By.xpath: //div[.=' 15 ']is found
14:00:18 INFO  manager.MyListener - Start searching element by locator -->By.cssSelector: button[aria-label='Next month']
14:00:18 INFO  manager.MyListener - Element with locator -->By.cssSelector: button[aria-label='Next month']is found
14:00:18 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //div[.=' 11 ']
14:00:18 INFO  manager.MyListener - Element with locator -->By.xpath: //div[.=' 11 ']is found
14:00:21 INFO  manager.MyListener - Start searching element by locator -->By.cssSelector: button[type='submit']
14:00:21 INFO  manager.MyListener - Element with locator -->By.cssSelector: button[type='submit']is found
