21:25:37 INFO  manager.ApplicationManager - Test start on Chrome
21:25:38 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //a[.=' Logout ']
21:25:41 INFO  manager.MyListener - Element with locator -->By.xpath: //a[.=' Logout ']is found
21:25:41 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //a[text()=' Log in ']
21:25:41 INFO  manager.MyListener - Element with locator -->By.xpath: //a[text()=' Log in ']is found
21:25:41 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //input[@id='email']
21:25:41 INFO  manager.MyListener - Element with locator -->By.xpath: //input[@id='email']is found
21:25:41 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //input[@id='password']
21:25:41 INFO  manager.MyListener - Element with locator -->By.xpath: //input[@id='password']is found
21:25:41 INFO  manager.MyListener - Start searching element by locator -->By.cssSelector: button[type='submit']
21:25:41 INFO  manager.MyListener - Element with locator -->By.cssSelector: button[type='submit']is found
21:25:42 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //button[@disabled]
21:25:42 INFO  manager.MyListener - Element with locator -->By.xpath: //button[@disabled]is found
21:25:42 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //a[.=' Logout ']
21:25:45 INFO  manager.MyListener - Element with locator -->By.xpath: //a[.=' Logout ']is found
21:25:45 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //a[text()=' Log in ']
21:25:45 INFO  manager.MyListener - Element with locator -->By.xpath: //a[text()=' Log in ']is found
21:25:45 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //input[@id='email']
21:25:45 INFO  manager.MyListener - Element with locator -->By.xpath: //input[@id='email']is found
21:25:45 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //input[@id='password']
21:25:45 INFO  manager.MyListener - Element with locator -->By.xpath: //input[@id='password']is found
21:25:45 INFO  manager.MyListener - Start searching element by locator -->By.cssSelector: button[type='submit']
21:25:45 INFO  manager.MyListener - Element with locator -->By.cssSelector: button[type='submit']is found
21:25:45 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //h1[normalize-space()='Logged in']
21:25:46 INFO  manager.MyListener - Element with locator -->By.xpath: //h1[normalize-space()='Logged in']is found
21:25:46 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //button[normalize-space()='Ok']
21:25:46 INFO  manager.MyListener - Element with locator -->By.xpath: //button[normalize-space()='Ok']is found
21:25:48 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //a[.=' Logout ']
21:25:48 INFO  manager.MyListener - Element with locator -->By.xpath: //a[.=' Logout ']is found
21:25:48 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //a[normalize-space()='Logout']
21:25:48 INFO  manager.MyListener - Element with locator -->By.xpath: //a[normalize-space()='Logout']is found
21:25:48 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //a[text()=' Log in ']
21:25:48 INFO  manager.MyListener - Element with locator -->By.xpath: //a[text()=' Log in ']is found
21:25:48 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //input[@id='email']
21:25:48 INFO  manager.MyListener - Element with locator -->By.xpath: //input[@id='email']is found
21:25:49 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //input[@id='password']
21:25:49 INFO  manager.MyListener - Element with locator -->By.xpath: //input[@id='password']is found
21:25:49 INFO  manager.MyListener - Start searching element by locator -->By.cssSelector: button[type='submit']
21:25:49 INFO  manager.MyListener - Element with locator -->By.cssSelector: button[type='submit']is found
21:25:49 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //button[normalize-space()='Ok']
21:25:49 INFO  manager.MyListener - Element with locator -->By.xpath: //button[normalize-space()='Ok']is found
21:25:51 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //a[.=' Logout ']
21:25:51 INFO  manager.MyListener - Element with locator -->By.xpath: //a[.=' Logout ']is found
21:25:51 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //a[normalize-space()='Logout']
21:25:51 INFO  manager.MyListener - Element with locator -->By.xpath: //a[normalize-space()='Logout']is found
21:25:51 INFO  tests.TestBase - User: models.User@544630b7 is provided
21:25:51 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //a[text()=' Log in ']
21:25:51 INFO  manager.MyListener - Element with locator -->By.xpath: //a[text()=' Log in ']is found
21:25:51 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //input[@id='email']
21:25:51 INFO  manager.MyListener - Element with locator -->By.xpath: //input[@id='email']is found
21:25:51 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //input[@id='password']
21:25:51 INFO  manager.MyListener - Element with locator -->By.xpath: //input[@id='password']is found
21:25:52 INFO  manager.MyListener - Start searching element by locator -->By.cssSelector: button[type='submit']
21:25:52 INFO  manager.MyListener - Element with locator -->By.cssSelector: button[type='submit']is found
21:25:52 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //button[normalize-space()='Ok']
