20:52:04 INFO  manager.ApplicationManager - Test start on Chrome
20:52:06 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //a[.=' Logout ']
20:52:09 INFO  manager.MyListener - Element with locator -->By.xpath: //a[.=' Logout ']is found
20:52:09 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //a[text()=' Log in ']
20:52:09 INFO  manager.MyListener - Element with locator -->By.xpath: //a[text()=' Log in ']is found
20:52:09 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //input[@id='email']
20:52:09 INFO  manager.MyListener - Element with locator -->By.xpath: //input[@id='email']is found
20:52:09 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //input[@id='password']
20:52:09 INFO  manager.MyListener - Element with locator -->By.xpath: //input[@id='password']is found
20:52:09 INFO  manager.MyListener - Start searching element by locator -->By.cssSelector: button[type='submit']
20:52:09 INFO  manager.MyListener - Element with locator -->By.cssSelector: button[type='submit']is found
20:52:09 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //button[normalize-space()='Ok']
20:52:10 INFO  manager.MyListener - Element with locator -->By.xpath: //button[normalize-space()='Ok']is found
20:52:10 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //a[.=' Logout ']
20:52:10 INFO  manager.MyListener - Element with locator -->By.xpath: //a[.=' Logout ']is found
20:52:10 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //a[normalize-space()='Logout']
20:52:10 INFO  manager.MyListener - Element with locator -->By.xpath: //a[normalize-space()='Logout']is found
20:52:10 INFO  tests.TestBase - User: models.User@186978a6 is provided
20:52:10 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //a[text()=' Log in ']
20:52:10 INFO  manager.MyListener - Element with locator -->By.xpath: //a[text()=' Log in ']is found
20:52:10 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //input[@id='email']
20:52:10 INFO  manager.MyListener - Element with locator -->By.xpath: //input[@id='email']is found
20:52:11 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //input[@id='password']
20:52:11 INFO  manager.MyListener - Element with locator -->By.xpath: //input[@id='password']is found
20:52:11 INFO  manager.MyListener - Start searching element by locator -->By.cssSelector: button[type='submit']
20:52:11 INFO  manager.MyListener - Element with locator -->By.cssSelector: button[type='submit']is found
20:52:11 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //button[normalize-space()='Ok']
20:52:11 INFO  manager.MyListener - Element with locator -->By.xpath: //button[normalize-space()='Ok']is found
20:52:11 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //a[.=' Logout ']
20:52:11 INFO  manager.MyListener - Element with locator -->By.xpath: //a[.=' Logout ']is found
20:52:11 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //a[normalize-space()='Logout']
20:52:11 INFO  manager.MyListener - Element with locator -->By.xpath: //a[normalize-space()='Logout']is found
20:52:11 INFO  tests.TestBase - User: models.User@32232e55 is provided
20:52:11 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //a[text()=' Log in ']
20:52:11 INFO  manager.MyListener - Element with locator -->By.xpath: //a[text()=' Log in ']is found
20:52:11 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //input[@id='email']
20:52:11 INFO  manager.MyListener - Element with locator -->By.xpath: //input[@id='email']is found
20:52:11 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //input[@id='password']
20:52:11 INFO  manager.MyListener - Element with locator -->By.xpath: //input[@id='password']is found
20:52:12 INFO  manager.MyListener - Start searching element by locator -->By.cssSelector: button[type='submit']
20:52:12 INFO  manager.MyListener - Element with locator -->By.cssSelector: button[type='submit']is found
20:52:12 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //button[normalize-space()='Ok']
20:52:12 INFO  manager.MyListener - Element with locator -->By.xpath: //button[normalize-space()='Ok']is found
20:52:12 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //a[.=' Logout ']
20:52:12 INFO  manager.MyListener - Element with locator -->By.xpath: //a[.=' Logout ']is found
20:52:12 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //a[normalize-space()='Logout']
20:52:12 INFO  manager.MyListener - Element with locator -->By.xpath: //a[normalize-space()='Logout']is found
20:52:12 INFO  tests.TestBase - User: models.User@2e185cd7 is provided
20:52:12 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //a[text()=' Log in ']
20:52:12 INFO  manager.MyListener - Element with locator -->By.xpath: //a[text()=' Log in ']is found
20:52:12 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //input[@id='email']
20:52:12 INFO  manager.MyListener - Element with locator -->By.xpath: //input[@id='email']is found
20:52:12 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //input[@id='password']
20:52:12 INFO  manager.MyListener - Element with locator -->By.xpath: //input[@id='password']is found
20:52:13 INFO  manager.MyListener - Start searching element by locator -->By.cssSelector: button[type='submit']
20:52:13 INFO  manager.MyListener - Element with locator -->By.cssSelector: button[type='submit']is found
20:52:13 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //button[normalize-space()='Ok']
20:52:13 INFO  manager.MyListener - Element with locator -->By.xpath: //button[normalize-space()='Ok']is found
